Instance name		n	A	F	M	N	S
ski-level3-2.txt	14	True	-1	-1	not implemented - NP Hard???	False	
ski-level3-3.txt	15	True	-1	-1	not implemented - NP Hard???	False	
ski-level5-1.txt	29	True	-1	-1	not implemented - NP Hard???	False	
ski-level5-2.txt	26	True	-1	-1	not implemented - NP Hard???	False	
ski-level5-3.txt	27	True	-1	-1	not implemented - NP Hard???	False	
smallworld-10-0.txt	100	True	-1	-1	not implemented - NP Hard???	False	
smallworld-10-1.txt	100	True	-1	-1	not implemented - NP Hard???	True	
smallworld-20-0.txt	400	True	-1	-1	not implemented - NP Hard???	False	
smallworld-20-1.txt	400	True	-1	-1	not implemented - NP Hard???	True	
smallworld-3-0.txt	9	True	-1	-1	not implemented - NP Hard???	False	
smallworld-3-1.txt	9	True	-1	-1	not implemented - NP Hard???	False	
smallworld-30-0.txt	900	True	-1	-1	not implemented - NP Hard???	False	
smallworld-30-1.txt	900	True	-1	-1	not implemented - NP Hard???	True	
smallworld-40-0.txt	1600	True	-1	-1	not implemented - NP Hard???	False	
smallworld-40-1.txt	1600	True	-1	-1	not implemented - NP Hard???	True	
smallworld-50-0.txt	2500	True	-1	-1	not implemented - NP Hard???	False	
smallworld-50-1.txt	2500	True	-1	-1	not implemented - NP Hard???	Error in alternate.py: maximum recursion depth exceeded while calling a Python object	
wall-n-1.txt	8	True	-1	-1	not implemented - NP Hard???	False	
wall-n-10.txt	80	True	-1	-1	not implemented - NP Hard???	False	
wall-n-100.txt	800	True	-1	-1	not implemented - NP Hard???	False	
wall-n-1000.txt	8000	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
wall-n-10000.txt	80000	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
wall-n-2.txt	16	True	-1	-1	not implemented - NP Hard???	False	
wall-n-3.txt	24	True	-1	-1	not implemented - NP Hard???	False	
wall-n-4.txt	32	True	-1	-1	not implemented - NP Hard???	False	
wall-p-1.txt	8	True	-1	-1	not implemented - NP Hard???	False	
wall-p-10.txt	62	True	-1	-1	not implemented - NP Hard???	False	
wall-p-100.txt	602	True	-1	-1	not implemented - NP Hard???	False	
